Date,Time,Elapsed_Seconds,PM2.5(ug/m3),CO(relative),CO2(ppm),TVOC(ppb)
2026/4/29,08:00:00,2419200,22.48,490,652,27
2026/4/29,10:00:00,2426400,15.21,439,542,22
2026/4/29,12:00:00,2433600,15.52,450,566,20
2026/4/29,14:00:00,2440800,15.56,438,542,15
2026/4/29,16:00:00,2448000,14.76,445,584,19
2026/4/29,18:00:00,2455200,24.02,492,646,25
2026/4/29,20:00:00,2462400,13.27,415,535,17
