Date,Time,Elapsed_Seconds,PM2.5(ug/m3),CO(relative),CO2(ppm),TVOC(ppb)
2026/4/18,08:00:00,1468800,16.87,505,637,23
2026/4/18,10:00:00,1476000,11.68,431,530,17
2026/4/18,12:00:00,1483200,16.65,425,536,16
2026/4/18,14:00:00,1490400,13.96,400,557,18
2026/4/18,16:00:00,1497600,15.94,440,567,16
2026/4/18,18:00:00,1504800,19.55,509,677,30
2026/4/18,20:00:00,1512000,13.01,434,559,18
