Date,Time,Elapsed_Seconds,PM2.5(ug/m3),CO(relative),CO2(ppm),TVOC(ppb)
2026/4/26,08:00:00,2160000,17.93,462,596,25
2026/4/26,10:00:00,2167200,11.29,407,519,14
2026/4/26,12:00:00,2174400,11.1,424,530,15
2026/4/26,14:00:00,2181600,9.69,404,541,14
2026/4/26,16:00:00,2188800,10.65,425,543,14
2026/4/26,18:00:00,2196000,18.88,477,644,28
2026/4/26,20:00:00,2203200,13.34,393,541,15
