Date,Time,Elapsed_Seconds,PM2.5(ug/m3),CO(relative),CO2(ppm),TVOC(ppb)
2026/4/14,08:00:00,1123200,20.58,494,654,27
2026/4/14,10:00:00,1130400,16.52,431,569,19
2026/4/14,12:00:00,1137600,19.63,434,599,21
2026/4/14,14:00:00,1144800,18.02,428,568,18
2026/4/14,16:00:00,1152000,20.01,450,589,19
2026/4/14,18:00:00,1159200,24.47,515,653,31
2026/4/14,20:00:00,1166400,18.78,421,576,20
