Date,Time,Elapsed_Seconds,PM2.5(ug/m3),CO(relative),CO2(ppm),TVOC(ppb)
2026/4/21,08:00:00,1728000,21.65,502,651,29
2026/4/21,10:00:00,1735200,14.56,444,570,18
2026/4/21,12:00:00,1742400,16.12,456,585,21
2026/4/21,14:00:00,1749600,16.13,444,548,18
2026/4/21,16:00:00,1756800,17.55,440,550,20
2026/4/21,18:00:00,1764000,22.85,544,673,29
2026/4/21,20:00:00,1771200,14.96,440,532,18
