Date,Time,Elapsed_Seconds,PM2.5(ug/m3),CO(relative),CO2(ppm),TVOC(ppb)
2026/4/8,08:00:00,604800,24.18,500,668,31
2026/4/8,10:00:00,612000,19.98,428,587,18
2026/4/8,12:00:00,619200,21.73,460,580,22
2026/4/8,14:00:00,626400,15.77,429,556,21
2026/4/8,16:00:00,633600,20.51,456,584,19
2026/4/8,18:00:00,640800,28.23,529,678,33
2026/4/8,20:00:00,648000,15.44,438,572,19
