Date,Time,Elapsed_Seconds,PM2.5(ug/m3),CO(relative),CO2(ppm),TVOC(ppb)
2026/4/2,08:00:00,86400,24.07,529,673,29
2026/4/2,10:00:00,93600,19.13,440,572,20
2026/4/2,12:00:00,100800,18.32,462,575,21
2026/4/2,14:00:00,108000,16.48,434,553,18
2026/4/2,16:00:00,115200,17.15,463,582,23
2026/4/2,18:00:00,122400,29.4,533,720,35
2026/4/2,20:00:00,129600,19.85,448,558,18
